#	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	
976	934	870	970	950	758	904	877	627	798	745	
960	1016	871	976	799	763	910	674	633	594	759	
1034	861	873	819	952	836	819	787	752	716	612	
1045	932	915	893	869	848	829	799	756	742	701	
1060	974	962	958	960	956	948	937	1031	1025	1016	
1060	1058	1059	1055	1053	1050	1046	1041	1036	1030	1023	
975	977	960	965	948	929	900	880	851	826	792	
979	980	969	964	951	925	921	899	853	828	805	
989	982	979	961	963	946	920	914	874	851	819	
997	1006	998	992	991	954	948	937	892	893	1032	
1061	1060	1059	1057	1054	1052	1048	1047	1041	1041	1032	
1061	1059	1060	1055	1056	1052	1050	1044	1042	1038	1035	
1065	1063	1063	1059	1058	1061	1059	1063	1055	1053	1056	
1064	1061	1059	1062	1055	1059	1058	1059	1047	1046	1046	
