72.58	65.54	63.83	68.18	65.35	64.22	66.13	64.13	64.46	64.71	64.56	63.86	60.88	59.25	57.83	57.02	57.37	57.58	58.83	59.41	60.61	62.87	65.98	70.82	80.22	84.85	87.92	85.90	88.61	89.83	92.80	94.94	
80.09	65.26	63.38	62.90	62.87	65.89	64.24	64.02	64.38	64.35	64.42	63.39	61.10	59.44	58.01	56.79	57.32	57.93	59.67	59.55	60.11	62.28	65.20	69.80	79.17	85.49	86.43	84.91	86.80	89.59	91.82	93.82	
71.02	63.95	63.00	63.29	62.41	63.15	64.13	62.26	64.98	64.63	63.98	63.35	60.49	58.91	58.02	56.75	57.19	57.61	58.10	60.62	60.19	62.07	66.03	70.42	80.69	84.75	87.27	85.36	85.42	88.75	89.68	92.06	
68.73	63.33	61.80	62.27	61.91	61.94	61.12	63.23	63.92	63.53	63.61	62.78	61.11	59.57	57.79	56.69	57.12	57.92	63.08	64.96	65.58	67.46	64.71	68.55	76.51	79.99	82.31	84.69	85.94	88.09	88.35	90.41	
56.29	60.11	52.29	50.61	49.82	49.53	51.15	49.05	50.07	47.01	47.05	47.12	45.31	47.94	44.36	45.85	44.65	46.25	44.15	45.34	44.68	45.76	45.73	49.21	55.21	57.95	61.73	64.23	64.24	63.39	65.55	61.74	
45.38	53.28	47.48	55.25	53.09	53.53	52.19	45.45	39.80	35.75	26.07	21.98	25.57	28.89	21.44	13.93	13.84	19.17	27.03	27.22	23.41	27.19	28.53	30.37	21.64	32.25	36.46	34.56	28.59	30.28	25.16	31.86	
53.59	54.14	48.86	47.20	54.19	54.86	48.37	50.05	44.10	35.91	30.85	42.33	30.44	35.62	26.10	32.72	29.70	25.47	21.04	24.63	33.24	34.65	26.38	27.79	26.07	42.92	45.22	45.39	44.69	34.63	13.79	44.00	
46.37	48.53	55.11	53.36	54.86	49.99	54.35	53.30	51.40	43.79	48.56	46.11	43.93	40.42	33.97	31.19	40.84	41.04	38.92	41.20	32.28	33.24	33.95	35.27	37.55	47.89	49.61	43.06	49.39	48.32	38.52	47.79	
54.20	54.85	55.24	50.33	49.96	49.61	48.32	55.12	54.20	53.44	5.33	44.42	42.43	50.99	46.54	37.95	38.09	38.83	47.37	38.44	47.23	39.46	39.65	49.33	42.19	37.58	45.63	45.53	52.67	52.32	49.79	50.19	
55.71	49.63	55.40	55.54	48.30	50.14	49.54	49.69	47.63	48.40	54.43	44.31	52.64	44.19	44.62	50.80	50.75	46.70	51.12	40.65	48.94	50.61	44.18	45.32	44.15	53.34	50.92	52.50	53.16	51.49	52.15	45.31	
55.74	54.75	58.30	46.63	49.85	50.13	55.25	55.07	54.93	55.64	55.24	53.68	48.49	52.50	54.16	53.47	54.03	54.19	42.42	54.61	54.73	54.84	54.08	48.77	53.74	55.56	54.83	49.54	49.01	48.47	48.50	52.48	
55.63	55.44	56.73	55.58	55.22	55.76	55.23	50.59	50.35	50.10	47.65	50.01	49.96	54.92	55.36	55.12	55.69	54.40	49.48	47.00	55.24	55.70	54.01	50.43	55.72	50.73	48.20	49.54	49.54	54.67	50.17	49.50	
55.82	54.42	50.37	55.44	50.16	55.68	50.13	49.76	54.47	55.49	53.59	55.56	49.98	49.64	56.02	54.97	55.40	50.01	50.16	54.35	58.15	55.32	48.37	55.62	50.17	55.49	55.49	55.45	56.12	54.86	51.99	48.15	
51.63	68.86	50.78	51.11	50.89	55.56	49.93	55.78	55.45	47.83	54.66	54.51	55.27	55.56	48.13	55.95	54.82	50.07	55.68	49.97	55.36	50.12	55.20	55.85	50.18	55.92	55.50	55.72	50.12	48.99	56.15	55.57	
57.80	47.78	55.82	55.76	55.15	47.33	54.77	55.86	55.87	55.75	46.89	54.81	55.84	55.10	55.71	49.22	55.34	50.05	55.55	56.23	49.79	56.06	55.14	50.12	56.32	50.43	56.14	49.83	49.72	55.74	55.71	50.10	
